fold,AUC,accuracy,precision,recall,F1
1,0.8323257048484134,0.7398373983739838,0.7175141242937854,0.7341040462427746,0.7257142857142859
2,0.8047953285360385,0.7425474254742548,0.7407407407407407,0.6936416184971098,0.7164179104477612
3,0.7976878612716763,0.7235772357723578,0.7482517482517482,0.6184971098265896,0.6772151898734178
4,0.8328712988085407,0.7588075880758808,0.7258064516129032,0.7803468208092486,0.7520891364902507
5,0.8328191741813005,0.779891304347826,0.8095238095238095,0.6918604651162791,0.7460815047021943
6,0.6849489795918368,0.657608695652174,0.6742424242424242,0.5174418604651163,0.5855263157894737
7,0.8188330564784054,0.7608695652173914,0.78,0.6802325581395349,0.7267080745341614
8,0.8451293308020883,0.7717391304347826,0.7588235294117647,0.75,0.7543859649122807
9,0.8713514475557667,0.7961956521739131,0.8012422360248447,0.75,0.7747747747747746
10,0.8852337446606551,0.8233695652173914,0.8741258741258742,0.7267441860465116,0.7936507936507936
