fold,AUC,accuracy,precision,recall,F1
1,0.8166656836144863,0.7425474254742548,0.7671232876712328,0.6473988439306358,0.702194357366771
2,0.7953875191695174,0.7371273712737128,0.7087912087912088,0.7456647398843931,0.7267605633802817
3,0.8100743187448389,0.7506775067750677,0.7368421052631579,0.7283236994219653,0.7325581395348836
4,0.7928217529786481,0.7344173441734417,0.7483443708609272,0.653179190751445,0.6975308641975309
5,0.8176910299003323,0.7554347826086957,0.7887323943661971,0.6511627906976745,0.7133757961783439
6,0.7978168011390602,0.7364130434782609,0.7697841726618705,0.622093023255814,0.6881028938906754
7,0.8290074750830565,0.7635869565217391,0.7672955974842768,0.7093023255813954,0.7371601208459214
8,0.8573504983388703,0.7608695652173914,0.7359550561797753,0.7616279069767442,0.7485714285714287
9,0.8190555291884195,0.75,0.7439024390243902,0.7093023255813954,0.7261904761904763
10,0.8598718557190317,0.7771739130434783,0.8629032258064516,0.622093023255814,0.7229729729729729
