fold,AUC,accuracy,precision,recall,F1
1,0.8468650465966735,0.7615176151761518,0.8148148148148148,0.6358381502890174,0.7142857142857143
2,0.8136722897251387,0.7642276422764228,0.8161764705882353,0.6416184971098265,0.7184466019417475
3,0.8261472218945382,0.7506775067750677,0.8584070796460177,0.5606936416184971,0.6783216783216783
4,0.8578506547127521,0.7750677506775068,0.7272727272727273,0.8323699421965318,0.7762803234501348
5,0.8125296630280019,0.7065217391304348,0.9444444444444444,0.3953488372093023,0.5573770491803278
6,0.8214285714285714,0.7445652173913043,0.6911764705882353,0.8197674418604651,0.7500000000000001
7,0.8441949454200286,0.7228260869565217,0.8977272727272727,0.45930232558139533,0.6076923076923078
8,0.8548588039867109,0.7663043478260869,0.7128712871287128,0.8372093023255814,0.770053475935829
9,0.8818521594684385,0.7527173913043478,0.9550561797752809,0.4941860465116279,0.6513409961685824
10,0.8693343616516374,0.782608695652174,0.8026315789473685,0.7093023255813954,0.7530864197530864
