fold,AUC,accuracy,precision,recall,F1
1,0.8208829774684441,0.7479674796747967,0.7564102564102564,0.6820809248554913,0.7173252279635258
2,0.8256163737171169,0.7506775067750677,0.8584070796460177,0.5606936416184971,0.6783216783216783
3,0.8255573905862923,0.7317073170731707,0.8627450980392157,0.5086705202312138,0.64
4,0.8519228500648814,0.7723577235772358,0.8503937007874016,0.6242774566473989,0.72
5,0.8381288561936403,0.7771739130434783,0.8125,0.6802325581395349,0.7405063291139241
6,0.8157036070242051,0.7364130434782609,0.7659574468085106,0.627906976744186,0.6900958466453675
7,0.797001067869008,0.7255434782608695,0.6858638743455497,0.7616279069767442,0.7217630853994491
8,0.8281620787850023,0.7581521739130435,0.7943262411347518,0.6511627906976745,0.7156549520766774
9,0.8867465590887518,0.7853260869565217,0.7336683417085427,0.8488372093023255,0.7870619946091643
10,0.8557783578547699,0.7282608695652174,0.6636363636363637,0.8488372093023255,0.7448979591836734
