fold,AUC,accuracy,precision,recall,F1
1,0.8180812787542763,0.7371273712737128,0.7111111111111111,0.7398843930635838,0.7252124645892352
2,0.8167689040934293,0.7100271002710027,0.6410256410256411,0.8670520231213873,0.7371007371007371
3,0.8106346584876726,0.7289972899728997,0.6972972972972973,0.7456647398843931,0.7206703910614526
4,0.850979119971688,0.7642276422764228,0.7905405405405406,0.6763005780346821,0.7289719626168225
5,0.7849727100142383,0.6983695652173914,0.8210526315789474,0.45348837209302323,0.5842696629213483
6,0.8146357380161368,0.7472826086956522,0.8110236220472441,0.5988372093023255,0.6889632107023411
7,0.7996114143331751,0.6766304347826086,0.863013698630137,0.36627906976744184,0.5142857142857142
8,0.8421926910299004,0.7336956521739131,0.87,0.5058139534883721,0.6397058823529411
9,0.8448327005220692,0.7635869565217391,0.8632478632478633,0.5872093023255814,0.6989619377162629
10,0.8468201233981965,0.7663043478260869,0.7756410256410257,0.7034883720930233,0.7378048780487805
