fold,AUC,accuracy,precision,recall,F1
1,0.8161053438716527,0.7344173441734417,0.7450980392156863,0.6589595375722543,0.6993865030674846
2,0.8111360150996814,0.7371273712737128,0.6919191919191919,0.791907514450867,0.738544474393531
3,0.8017576972985726,0.7533875338753387,0.7847222222222222,0.653179190751445,0.7129337539432177
4,0.7791376666273445,0.7127371273712737,0.7189542483660131,0.6358381502890174,0.6748466257668712
5,0.7697259136212625,0.6983695652173914,0.7401574803149606,0.5465116279069767,0.62876254180602
6,0.7909053156146179,0.7038043478260869,0.6702702702702703,0.7209302325581395,0.6946778711484594
7,0.8406057190317988,0.7581521739130435,0.7398843930635838,0.7441860465116279,0.7420289855072463
8,0.827984100616991,0.7418478260869565,0.7361963190184049,0.6976744186046512,0.7164179104477612
9,0.8736948267679165,0.8097826086956522,0.8923076923076924,0.6744186046511628,0.7682119205298013
10,0.8386924537256764,0.7581521739130435,0.7106598984771574,0.813953488372093,0.7588075880758808
