fold,AUC,accuracy,precision,recall,F1
1,0.7922171758876961,0.7073170731707317,0.6775956284153005,0.7167630057803468,0.6966292134831461
2,0.82977468444025,0.6775067750677507,0.6007462686567164,0.930635838150289,0.7301587301587302
3,0.814616019818332,0.7642276422764228,0.7905405405405406,0.6763005780346821,0.7289719626168225
4,0.8332546891589006,0.7398373983739838,0.8598130841121495,0.5317919075144508,0.657142857142857
5,0.7905196962505933,0.7255434782608695,0.927710843373494,0.4476744186046512,0.603921568627451
6,0.7906976744186047,0.6847826086956522,0.8783783783783784,0.37790697674418605,0.5284552845528456
7,0.8366901993355482,0.7391304347826086,0.8725490196078431,0.5174418604651163,0.6496350364963505
8,0.8393153773137162,0.6983695652173914,0.6205533596837944,0.9127906976744186,0.7388235294117648
9,0.8450996677740864,0.7717391304347826,0.860655737704918,0.6104651162790697,0.7142857142857142
10,0.8427266255339345,0.7690217391304348,0.848,0.6162790697674418,0.7138047138047137
